Column name (original),Column (analysis report),Description
Date,date,2018-04-26 to 2018-12-06 Pandas datetime format.  Set as the index of dataframe for time series analysis
Calories Burned,col_burn,"Daily total calories burned, in cal"
Steps,steps,Daily total step count
Distance,distance,Daily walking distance
Floors,floors,Daily number of floors climbed
Minutes Sedentary,min_sed,Daily minutes in sedentary
Minutes Lightly Active,min_active_light,"Dilay light activity, in minutes"
Minutes Fairly Active,min_active_fairly,"Dilay medium activity, in minutes"
Minutes Very Active,min_active_very,"Dilay intense activity, in minutes"
Activity Calories,cal_activity,"Daily total calories burned from activity, in cal"